00012,CERIN,CETIRIZINE DIHYDROCHLORHYDE,10MG,,B/10,,O,14/12/2002,,,60.00,0,143,,O,O,O,,,,09801A00302,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 75.00DA.",01A003,10,,G,
00013,ZERAN,CETIRIZINE,10MG,MG,B/10,,O,19/10/1998,,,60.00,0,014,,,,O,,,,11801A00398,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 75.00DA.",01A003,10,,G,
00014,ALERID,CETIRIZINE,10MG,MG,B/10,,O,05/01/1999,,,60.00,0,014,,,,O,,,,18201A00399,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 75.00DA.",01A003,10,,G,
00015,CETRYN,CETIRIZINE,10MG,MG,B/10,,O,23/12/1998,,,60.00,0,014,,,,O,,,,19601A00398,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 75.00DA.",01A003,10,O,G,
00016,HISTARIZINE,"CETIRIZINE, DICHLORHYDRATE",10MG,MG,BTE/10,,O,04/10/2004,,,60.00,0,161,,O,O,O,213,,,30401A00317,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 75.00DA.",01A003,10,,G,
00019,HISTAGAN,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/20,,O,,,,40.00,0,014,,O,O,O,213,,,00301A00598,29/01/2018,,01A005,10,,G,
00020,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/30,,O,,,,60.00,0,014,,O,O,O,,,,02701A00597,29/01/2018,,01A005,10,,P,
00021,CLARAMINE,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/30,,O,,,,60.00,0,014,,O,O,O,,,,07401A00599,29/01/2018,,01A005,10,,G,
00022,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,6,MG,B/30,,O,,12/06/2014,,146.70,0,143,,O,O,O,,,,02701A00697,13/03/2010,,01A006,10,,P,
00023,HISTAGAN,DEXCHLORPHENIRAMINE MALEATE,"0,5MG/5ML",,FL/125 ML,,O,,,,125.00,0,056,,O,O,O,213,,,00301A00798,13/03/2010,,01A007,10,,G,
00024,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,"0,5",MG/5ML,FL/125 ML,,O,,,,125.00,0,056,,O,O,O,,,,02701A00798,13/03/2010,,01A007,10,,P,
00025,DEXCHLORPHENIRAMINE,DEXCHLORPHENIRAMINE MALEATE,"0,5",MG/5ML,FL/125 ML,,O,,,,125.00,0,056,,O,O,O,213,,,04801A00797,13/03/2010,,01A007,10,,G,
00026,DORAMINE,DEXCHLORPHENIRAMINE,"0,5MG/CAC",,FL/125ML,,O,,,,125.00,0,056,,,,O,,,,08801A00702,13/03/2010,,01A007,10,,G,
00029,NATAZINE,MEQUITAZINE,5MG,MG,B/14,,O,,12/06/2014,,56.00,0,014,,,,O,,,,01301A00998,13/03/2010,,01A009,,,G,
00030,PRIMALAN,MEQUITAZINE,5,MG,B/14,,O,,12/06/2014,,56.00,0,014,,,,O,,,,09901A00998,13/03/2010,,01A009,,,P,
